timestamp,topology,algorithm,traffic,inj_rate,seed,avg_latency,min_latency,max_latency,status
20260514-222217,mesh88,dor,hotspot,0.01,789,50.2801,NA,NA,OK
20260514-222218,mesh88,dor,hotspot,0.01,999,65.6029,NA,NA,OK
20260514-222219,mesh88,dor,hotspot,0.05,42,319.098,NA,NA,OK
20260514-222219,mesh88,dor,hotspot,0.05,123,308.254,NA,NA,OK
20260514-222219,mesh88,dor,hotspot,0.05,456,320.316,NA,NA,OK
20260514-222220,mesh88,dor,hotspot,0.05,789,314.741,NA,NA,OK
20260514-222220,mesh88,dor,hotspot,0.05,999,337.192,NA,NA,OK
20260514-222220,mesh88,dor,hotspot,0.1,42,556.439,NA,NA,OK
20260514-222221,mesh88,dor,hotspot,0.1,123,557.06,NA,NA,OK
20260514-222221,mesh88,dor,hotspot,0.1,456,562.005,NA,NA,OK
20260514-222221,mesh88,dor,hotspot,0.1,789,548.233,NA,NA,OK
20260514-222222,mesh88,dor,hotspot,0.1,999,547.943,NA,NA,OK
20260514-222222,mesh88,dor,hotspot,0.2,42,742.051,NA,NA,OK
20260514-222222,mesh88,dor,hotspot,0.2,123,739.986,NA,NA,OK
20260514-222222,mesh88,dor,hotspot,0.2,456,739.351,NA,NA,OK
20260514-222223,mesh88,dor,hotspot,0.2,789,725.419,NA,NA,OK
20260514-222223,mesh88,dor,hotspot,0.2,999,735.7,NA,NA,OK
20260514-222223,mesh88,dor,hotspot,0.3,42,826.608,NA,NA,OK
20260514-222224,mesh88,dor,hotspot,0.3,123,826.808,NA,NA,OK
20260514-222224,mesh88,dor,hotspot,0.3,456,825.619,NA,NA,OK
20260514-222224,mesh88,dor,hotspot,0.3,789,824.998,NA,NA,OK
20260514-222225,mesh88,dor,hotspot,0.3,999,832.06,NA,NA,OK
20260514-222225,mesh88,dor,hotspot,0.35,42,845.433,NA,NA,OK
20260514-222225,mesh88,dor,hotspot,0.35,123,850.109,NA,NA,OK
20260514-222226,mesh88,dor,hotspot,0.35,456,845.615,NA,NA,OK
20260514-222226,mesh88,dor,hotspot,0.35,789,851.24,NA,NA,OK
20260514-222226,mesh88,dor,hotspot,0.35,999,850.805,NA,NA,OK
20260514-222226,mesh88,dor,hotspot,0.4,42,865.752,NA,NA,OK
20260514-222227,mesh88,dor,hotspot,0.4,123,873.153,NA,NA,OK
20260514-222227,mesh88,dor,hotspot,0.4,456,866.99,NA,NA,OK
20260514-222227,mesh88,dor,hotspot,0.4,789,859.193,NA,NA,OK
20260514-222228,mesh88,dor,hotspot,0.4,999,863.12,NA,NA,OK
20260514-222228,mesh88,dor,hotspot,0.45,42,881.584,NA,NA,OK
20260514-222228,mesh88,dor,hotspot,0.45,123,884.381,NA,NA,OK
20260514-222229,mesh88,dor,hotspot,0.45,456,883.139,NA,NA,OK
20260514-222229,mesh88,dor,hotspot,0.45,789,880.756,NA,NA,OK
20260514-222229,mesh88,dor,hotspot,0.45,999,883.747,NA,NA,OK
