topo,k,n,algo,traffic,inj_rate,seed,latency,accepted,hops,injected
mesh,4,4,dor,uniform,0.02,3,19.4874,0.0201508,3.4944,0.020151
mesh,4,4,dor,uniform,0.02,4,19.51,0.0200368,3.49885,0.0200326
mesh,4,4,dor,uniform,0.05,0,19.5345,0.0499304,3.49798,0.0499354
mesh,4,4,dor,uniform,0.05,1,19.544,0.0501122,3.49979,0.0501256
mesh,4,4,dor,uniform,0.05,2,19.5587,0.0499544,3.50285,0.0499628
mesh,4,4,dor,uniform,0.05,3,19.541,0.0501877,3.49942,0.0501773
mesh,4,4,dor,uniform,0.05,4,19.535,0.0501136,3.49802,0.0501016
mesh,4,4,dor,uniform,0.1,0,19.6383,0.0998815,3.49953,0.0998766
mesh,4,4,dor,uniform,0.1,1,19.6366,0.100205,3.49888,0.100216
mesh,4,4,dor,uniform,0.1,2,19.6418,0.100012,3.50021,0.10001
mesh,4,4,dor,uniform,0.1,3,19.6336,0.100128,3.49887,0.100147
mesh,4,4,dor,uniform,0.1,4,19.6611,0.100037,3.50427,0.10007
mesh,4,4,dor,uniform,0.2,0,20.3708,0.199991,3.49852,0.199992
mesh,4,4,dor,uniform,0.2,1,20.3745,0.200216,3.49879,0.200204
mesh,4,4,dor,uniform,0.2,2,20.3752,0.199995,3.49818,0.200068
mesh,4,4,dor,uniform,0.2,3,20.3784,0.200102,3.49957,0.200107
mesh,4,4,dor,uniform,0.2,4,20.3773,0.20015,3.49932,0.20015
mesh,4,4,valiant,hotspot,0.01,0,32.7506,0.00998818,5.99747,0.00998137
mesh,4,4,valiant,hotspot,0.01,1,32.7803,0.0100162,6.00731,0.0100193
mesh,4,4,valiant,hotspot,0.01,2,32.6942,0.0100321,5.99006,0.01003
mesh,4,4,valiant,hotspot,0.01,3,32.7343,0.0100484,6.00032,0.010052
mesh,4,4,valiant,hotspot,0.01,4,32.7376,0.0100398,5.99276,0.0100439
mesh,4,4,valiant,hotspot,0.02,0,38.5479,0.0199915,6.00711,0.0199795
mesh,4,4,valiant,hotspot,0.02,1,38.2026,0.0200194,5.99282,0.0200228
mesh,4,4,valiant,hotspot,0.02,2,38.3908,0.0199661,5.99889,0.0199553
mesh,4,4,valiant,hotspot,0.02,3,38.4346,0.020095,6.00143,0.0200961
mesh,4,4,valiant,hotspot,0.02,4,38.4567,0.0199819,5.99457,0.0199917
mesh,4,4,valiant,hotspot,0.05,0,720.474,0,0,0.026375
mesh,4,4,valiant,hotspot,0.05,1,623.743,0,0,0.02175
mesh,4,4,valiant,hotspot,0.05,2,594.387,0,0,0.02375
mesh,4,4,valiant,hotspot,0.05,3,893.949,0,0,0.0241875
mesh,4,4,valiant,hotspot,0.05,4,809.918,0,0,0.0248125
mesh,4,4,valiant,hotspot,0.1,0,460.665,0,0,0.0276875
mesh,4,4,valiant,hotspot,0.1,1,489.766,0,0,0.0265937
