algo,traffic,inj_rate,seed,latency
valiant,transpose,0.1,0,44.6778
valiant,transpose,0.1,1,42.6006
valiant,transpose,0.1,2,44.231
valiant,transpose,0.1,3,46.4168
valiant,transpose,0.1,4,40.3378
valiant,transpose,0.2,0,70.2077
valiant,transpose,0.2,1,51.5263
valiant,transpose,0.2,2,49.9676
valiant,transpose,0.2,3,64.6856
valiant,transpose,0.2,4,55.7227
valiant,transpose,0.3,0,64.8409
valiant,transpose,0.3,1,75.395
valiant,transpose,0.3,2,104.362
valiant,transpose,0.3,3,61.3176
valiant,transpose,0.3,4,78.3435
valiant,uniform,0.01,0,32.0907
valiant,uniform,0.01,1,32.1416
valiant,uniform,0.01,2,32.0483
valiant,uniform,0.01,3,32.021
valiant,uniform,0.01,4,32.0407
valiant,uniform,0.02,0,32.2157
valiant,uniform,0.02,1,32.2386
valiant,uniform,0.02,2,32.2049
valiant,uniform,0.02,3,32.2871
valiant,uniform,0.02,4,32.2863
valiant,uniform,0.05,0,33.178
valiant,uniform,0.05,1,33.1688
valiant,uniform,0.05,2,33.1623
valiant,uniform,0.05,3,33.1455
valiant,uniform,0.05,4,33.2228
valiant,uniform,0.1,0,39.7057
valiant,uniform,0.1,1,39.8629
valiant,uniform,0.1,2,39.582
valiant,uniform,0.1,3,39.7686
valiant,uniform,0.1,4,39.5866
valiant,uniform,0.2,0,1019.39
valiant,uniform,0.2,1,938.782
valiant,uniform,0.2,2,922.862
valiant,uniform,0.2,3,1016.91
valiant,uniform,0.2,4,1015.75
valiant,uniform,0.3,0,593.2
valiant,uniform,0.3,1,594.53
valiant,uniform,0.3,2,598.974
valiant,uniform,0.3,3,551.504
valiant,uniform,0.3,4,596.379
